area_sqft,bedrooms,bathrooms,distance_cbd_km,school_score,hospital_score,metro_score,crime_index,flood_risk_score,age_years,parking_count,floor_number,total_floors,rental_yield_pct,price_per_sqft_micro_market,absorption_rate,inventory_months,interest_rate_pct,nearby_projects_count,locality_score,property_type,city_tier,furnishing,market_value,liquidity_score,time_to_sell_days
1577.0,3,4,6.34,7.3,6.91,8.94,4.58,2.02,22.1,1.0,4,5,3.12,4762.0,0.38,10.13,8.96,9,8.3,independent_house,tier_2,semi_furnished,6130730.0,61.85,112.0
1620.0,3,3,13.01,7.14,7.2,5.31,4.27,2.04,11.3,1.0,21,24,2.89,8532.0,0.578,8.91,8.14,3,6.48,apartment,metro,semi_furnished,9074029.0,58.63,125.0
1206.0,3,4,18.25,8.85,7.14,6.32,2.78,3.01,6.4,1.0,34,35,3.45,3862.0,0.539,2.16,7.96,2,7.53,apartment,tier_2,semi_furnished,3385479.0,83.39,50.0
1343.0,3,2,8.17,6.69,8.11,7.92,1.27,0.59,9.9,1.0,30,31,3.38,9222.0,0.613,10.96,10.09,6,7.02,villa,metro,fully_furnished,18792520.0,61.57,117.0
2056.0,4,3,8.43,7.16,7.92,7.4,3.3,0.35,11.9,,22,23,2.3,5510.0,0.65,1.5,8.19,6,9.21,apartment,tier_2,semi_furnished,11873093.0,81.3,69.0
2186.0,4,5,9.59,,5.11,6.5,3.8,1.59,8.5,2.0,18,23,3.91,8807.0,0.563,6.41,6.81,4,5.71,apartment,metro,unfurnished,12742543.0,73.48,69.0
815.0,1,1,15.08,7.1,7.37,7.04,4.86,5.72,20.7,1.0,21,31,3.29,8078.0,0.356,2.65,8.29,2,6.35,apartment,metro,unfurnished,1500000.0,70.04,92.0
1342.0,3,4,10.55,8.94,7.92,8.08,3.56,2.21,9.4,1.0,9,15,4.53,7346.0,0.558,10.15,7.88,1,8.0,independent_house,tier_1,semi_furnished,8813175.0,76.33,91.0
1886.0,3,4,13.6,6.2,9.48,5.26,3.85,4.77,14.2,2.0,20,24,4.36,6911.0,0.785,5.72,6.46,8,7.08,villa,metro,semi_furnished,1616198.0,84.84,59.0
2429.0,5,4,7.88,5.95,5.29,6.48,4.5,2.48,28.6,1.0,29,30,3.21,4160.0,0.374,9.12,9.19,4,6.21,independent_house,tier_2,fully_furnished,6823924.0,53.17,114.0
2377.0,5,6,7.75,5.61,7.92,10.0,7.12,3.46,10.3,2.0,31,32,3.88,8861.0,0.82,1.0,9.72,5,7.97,independent_house,metro,unfurnished,8045919.0,92.75,51.0
1036.0,3,3,13.92,,6.41,7.72,4.0,2.27,7.7,1.0,20,21,1.5,6637.0,0.271,9.89,8.91,5,7.65,apartment,tier_1,unfurnished,4222564.0,39.06,157.0
2113.0,4,4,5.72,9.43,7.33,8.69,1.51,2.81,8.6,3.0,10,39,1.5,6874.0,0.611,9.7,8.43,0,8.14,villa,tier_1,semi_furnished,11079959.0,56.51,118.0
1480.0,2,2,4.17,5.85,5.18,9.81,3.07,2.96,20.5,2.0,7,14,4.38,6420.0,0.464,3.74,8.18,6,7.02,apartment,tier_1,semi_furnished,6317009.0,82.1,62.0
1993.0,5,4,5.53,6.84,6.98,7.96,7.55,0.88,10.8,2.0,7,20,3.28,8657.0,0.571,5.28,8.41,9,8.34,apartment,metro,fully_furnished,16606762.0,67.91,100.0
1860.0,4,5,7.51,9.54,7.54,7.88,6.88,2.1,13.7,1.0,8,23,4.54,11332.0,0.706,11.31,9.36,7,9.99,villa,metro,fully_furnished,18830637.0,72.89,85.0
793.0,1,1,9.16,6.99,5.35,7.74,5.99,1.4,6.0,1.0,18,19,4.39,7433.0,0.743,7.91,6.7,5,8.01,apartment,metro,semi_furnished,6116412.0,78.65,95.0
1736.0,4,3,6.37,7.97,9.46,9.76,5.56,2.13,9.2,3.0,15,19,2.02,11585.0,0.805,9.75,8.56,5,7.44,villa,metro,fully_furnished,18044445.0,55.16,148.0
1973.0,4,3,6.89,5.07,4.37,6.3,5.58,0.66,19.3,2.0,34,35,3.99,9182.0,0.295,1.37,9.53,4,6.24,independent_house,metro,unfurnished,15793942.0,73.84,76.0
1440.0,2,3,11.59,9.3,7.91,5.67,3.87,2.09,0.0,1.0,21,34,2.69,4405.0,0.416,6.5,7.38,5,9.23,villa,tier_2,semi_furnished,6764114.0,57.8,126.0
1322.0,4,5,5.05,7.02,2.87,7.02,5.86,1.11,0.0,1.0,34,35,3.13,5972.0,0.471,10.32,9.41,5,4.94,villa,tier_1,fully_furnished,14599789.0,58.44,129.0
633.0,1,1,14.78,5.67,6.57,7.5,5.93,0.99,7.5,1.0,32,33,2.25,6293.0,0.438,4.7,10.03,5,7.23,villa,tier_1,semi_furnished,5042572.0,52.46,144.0
1805.0,5,6,4.57,5.67,7.82,8.72,5.82,1.15,8.3,2.0,3,10,4.29,9939.0,0.65,4.95,8.06,3,7.58,apartment,metro,fully_furnished,17469496.0,88.22,35.0
1559.0,2,2,9.0,9.73,8.21,6.47,3.22,2.51,9.3,2.0,9,28,3.84,9334.0,0.717,7.0,7.36,3,10.0,apartment,metro,unfurnished,7805770.0,77.22,87.0
970.0,2,3,8.61,6.32,6.82,7.54,3.72,2.47,9.5,1.0,1,4,2.86,6618.0,0.239,4.58,8.03,5,7.77,apartment,tier_1,unfurnished,3957993.0,68.81,65.0
1281.0,2,1,20.43,5.71,6.59,4.01,3.14,1.77,11.5,1.0,22,23,2.7,7537.0,0.377,11.59,8.9,5,6.83,apartment,metro,semi_furnished,5707582.0,50.99,123.0
1530.0,1,1,7.97,6.55,7.96,6.0,6.09,1.25,8.1,3.0,28,29,4.1,9986.0,0.543,9.35,10.82,5,8.38,apartment,metro,fully_furnished,12811389.0,64.24,108.0
1160.0,3,4,16.11,7.27,8.62,7.74,4.85,3.22,22.3,2.0,32,33,2.69,6135.0,0.571,7.02,7.89,5,6.05,independent_house,tier_1,unfurnished,2462917.0,60.88,107.0
1451.0,1,2,13.94,7.43,9.35,6.31,5.01,1.54,18.0,2.0,22,23,2.85,6895.0,0.857,13.78,7.93,7,8.59,apartment,tier_1,fully_furnished,7833013.0,63.91,129.0
540.0,1,1,6.09,7.87,4.81,,5.34,0.04,10.5,1.0,8,17,2.74,5090.0,0.351,6.67,8.49,1,7.45,apartment,tier_2,unfurnished,4588412.0,65.78,116.0
2152.0,5,6,19.34,7.55,6.66,3.14,1.76,2.82,18.7,2.0,21,22,2.73,5868.0,0.474,8.66,8.71,2,5.81,apartment,metro,semi_furnished,5699680.0,54.01,126.0
1458.0,2,2,6.31,8.17,3.27,9.13,5.89,0.95,0.0,1.0,9,35,4.01,7128.0,0.807,4.12,8.58,2,7.22,apartment,tier_1,semi_furnished,10496682.0,89.9,80.0
878.0,1,2,7.31,6.79,4.68,6.15,3.33,1.25,14.1,1.0,24,25,3.6,8409.0,0.479,6.93,7.09,5,6.56,villa,metro,unfurnished,9349835.0,64.54,88.0
350.0,1,1,12.19,10.0,5.8,10.0,3.49,1.34,18.3,0.0,1,35,2.89,9635.0,0.703,9.28,7.49,6,9.21,villa,metro,semi_furnished,5395184.0,58.03,107.0
1985.0,4,5,6.82,6.47,8.47,5.87,2.8,5.62,6.9,3.0,1,10,2.45,6590.0,0.487,9.18,9.32,4,8.22,independent_house,tier_1,semi_furnished,1500000.0,57.73,111.0
1740.0,3,3,2.86,9.23,6.18,10.0,4.44,3.85,15.7,1.0,21,22,,11774.0,0.524,4.17,9.75,8,10.0,villa,metro,semi_furnished,4479242.0,76.48,90.0
1560.0,4,4,7.39,6.3,6.51,8.12,4.18,0.21,6.4,2.0,14,15,3.16,6203.0,0.674,2.9,7.4,5,6.92,apartment,tier_1,unfurnished,10742635.0,78.91,80.0
1899.0,3,2,7.3,5.06,7.51,7.92,1.8,4.61,14.1,3.0,4,19,4.1,9536.0,0.522,7.31,9.69,4,7.35,independent_house,metro,unfurnished,1653697.0,79.05,64.0
1898.0,3,2,4.36,4.7,5.86,9.74,1.08,2.99,1.0,1.0,16,22,2.75,8921.0,0.437,8.32,6.5,3,5.16,apartment,metro,fully_furnished,7470678.0,65.78,92.0
1551.0,4,3,8.93,7.66,3.61,6.45,3.94,3.09,18.6,1.0,21,22,3.79,4450.0,0.697,1.0,8.83,8,6.1,apartment,tier_2,semi_furnished,3422411.0,83.31,57.0
1318.0,2,1,9.07,8.94,5.73,8.83,5.77,1.78,11.5,,23,24,3.17,10794.0,0.409,13.96,8.29,2,8.66,apartment,metro,fully_furnished,10090870.0,50.6,136.0
1233.0,4,4,11.64,5.47,6.79,8.29,5.59,5.06,13.3,2.0,1,2,3.66,6904.0,0.707,8.05,8.91,5,8.03,independent_house,tier_1,semi_furnished,1525600.0,68.74,97.0
1669.0,3,2,3.76,5.88,7.8,9.08,6.1,3.73,10.9,2.0,20,23,4.86,11349.0,0.508,1.0,7.37,3,10.0,apartment,metro,fully_furnished,5457969.0,98.0,35.0
2176.0,5,5,3.95,,6.65,,3.94,6.46,20.1,2.0,2,24,3.16,5545.0,0.406,8.4,9.32,7,8.16,apartment,tier_2,unfurnished,1500000.0,60.29,109.0
1396.0,3,2,15.08,7.2,7.77,8.93,3.66,0.65,13.4,2.0,26,27,5.36,8732.0,0.723,1.89,8.31,4,7.69,apartment,metro,semi_furnished,12425984.0,98.0,43.0
2218.0,4,3,4.49,6.32,8.57,9.79,4.1,2.88,19.0,3.0,25,26,3.21,11171.0,0.492,3.76,7.89,3,8.38,apartment,metro,semi_furnished,8349290.0,71.51,102.0
1644.0,3,4,10.71,5.28,8.9,6.23,5.75,2.82,7.1,1.0,18,19,2.46,5610.0,0.535,8.53,8.18,5,7.2,villa,tier_1,unfurnished,6598662.0,49.55,120.0
1648.0,3,2,7.76,7.66,7.29,9.11,7.2,7.45,15.9,2.0,28,29,4.81,8468.0,0.214,3.01,9.25,4,7.56,apartment,metro,unfurnished,1500000.0,70.65,99.0
2701.0,6,6,5.28,8.18,5.07,7.93,3.47,2.08,24.0,3.0,22,23,5.03,8308.0,0.36,4.0,8.53,5,8.08,apartment,metro,semi_furnished,11020195.0,83.3,70.0
2309.0,4,3,20.27,7.94,4.88,,3.82,3.99,24.4,2.0,20,21,2.56,3644.0,0.779,9.77,8.88,3,5.49,apartment,tier_2,fully_furnished,1620828.0,58.51,111.0
2323.0,3,2,9.16,7.24,5.04,8.43,4.36,3.63,0.0,2.0,0,11,2.69,6688.0,0.605,6.68,9.21,12,7.91,villa,tier_1,semi_furnished,5508870.0,61.25,93.0
1035.0,3,2,5.87,5.62,5.17,7.12,3.82,2.43,12.7,1.0,6,7,,6255.0,0.778,5.59,7.94,5,6.88,apartment,tier_1,unfurnished,4188127.0,90.58,54.0
2590.0,4,3,2.4,7.67,7.17,9.46,3.25,0.87,0.0,2.0,22,30,3.92,8230.0,0.554,6.49,8.02,5,8.71,apartment,tier_1,fully_furnished,22277829.0,70.99,82.0
1407.0,3,2,13.34,7.56,10.0,7.61,4.07,3.33,8.3,2.0,33,38,2.67,4867.0,0.585,12.48,10.92,6,9.22,apartment,tier_2,unfurnished,2638583.0,56.51,125.0
1332.0,2,2,4.46,5.23,7.36,10.0,2.88,1.48,7.0,1.0,17,18,2.59,4892.0,0.871,9.73,7.38,7,9.11,plot,tier_2,unfurnished,5000713.0,72.4,98.0
350.0,1,1,19.21,6.75,6.86,6.09,5.61,4.35,16.2,,34,35,3.66,5516.0,0.648,2.6,6.67,7,7.31,plot,tier_1,fully_furnished,1771030.0,76.21,91.0
1620.0,4,5,8.49,7.75,,5.82,6.95,3.16,10.3,2.0,14,26,3.28,9562.0,0.868,11.84,7.88,8,7.98,villa,metro,semi_furnished,9116339.0,65.79,142.0
887.0,2,2,36.25,7.08,5.59,0.0,3.79,3.28,5.5,1.0,4,17,3.92,4467.0,0.489,5.67,8.3,5,5.8,apartment,metro,fully_furnished,1500000.0,64.17,106.0
1662.0,3,3,7.3,4.26,8.77,10.0,7.29,2.1,15.6,2.0,24,34,3.92,7092.0,0.527,6.75,9.25,5,7.7,plot,tier_1,fully_furnished,7446697.0,74.42,88.0
846.0,2,3,4.33,6.24,8.65,8.03,4.11,0.77,3.1,1.0,25,31,4.22,5479.0,0.433,3.92,7.98,3,8.97,independent_house,tier_2,semi_furnished,8962685.0,75.37,63.0
2385.0,4,5,9.28,6.14,7.1,5.56,3.04,0.37,5.2,2.0,0,34,1.56,5985.0,0.671,5.54,9.28,6,5.94,independent_house,tier_1,unfurnished,16500950.0,61.67,106.0
1737.0,3,3,5.7,8.04,10.0,7.17,5.54,0.55,8.3,2.0,30,31,,10594.0,0.41,7.65,8.15,4,9.06,apartment,metro,unfurnished,17840133.0,75.71,86.0
2636.0,5,6,1.44,10.0,8.9,10.0,2.64,6.05,9.8,2.0,26,32,3.87,10941.0,0.876,7.25,9.04,1,9.5,apartment,metro,fully_furnished,1500000.0,84.72,71.0
918.0,3,3,15.48,7.4,7.08,6.29,5.42,4.81,12.8,1.0,20,21,,5204.0,0.279,12.55,9.58,4,8.03,apartment,tier_1,fully_furnished,1500000.0,45.66,153.0
2256.0,5,6,10.88,5.4,6.76,8.19,4.76,2.52,12.9,2.0,31,32,3.3,4556.0,0.572,3.38,8.02,5,6.72,plot,tier_2,semi_furnished,6608279.0,76.92,57.0
513.0,1,2,4.95,6.96,6.27,8.72,3.57,2.22,6.4,1.0,25,26,3.98,11381.0,0.468,6.54,9.34,5,9.58,apartment,metro,semi_furnished,6355226.0,75.43,62.0
1558.0,4,5,3.73,7.22,6.78,7.52,3.38,3.03,13.3,2.0,3,28,3.61,7283.0,0.619,1.0,7.54,3,8.26,apartment,tier_1,unfurnished,6637481.0,94.24,52.0
1122.0,1,1,4.09,8.33,6.83,6.47,2.73,0.93,12.0,1.0,23,31,3.62,6046.0,0.436,5.18,8.64,7,7.6,apartment,tier_1,unfurnished,7135989.0,72.12,62.0
1217.0,4,4,8.96,9.06,6.46,6.59,6.16,2.82,11.4,1.0,12,13,3.32,4629.0,0.613,10.34,8.75,3,8.17,villa,tier_2,fully_furnished,6439590.0,65.15,98.0
1181.0,3,3,27.37,9.29,6.64,3.33,3.9,3.07,0.0,1.0,34,35,4.9,5742.0,0.646,11.83,8.7,4,7.39,apartment,metro,unfurnished,2993825.0,70.67,92.0
974.0,4,5,7.67,8.01,4.97,6.42,4.86,4.33,14.9,1.0,30,31,3.71,4551.0,0.672,12.1,8.8,1,7.66,independent_house,tier_2,semi_furnished,3660724.0,66.63,117.0
795.0,2,3,2.29,7.2,6.03,10.0,4.28,5.28,15.9,1.0,24,38,4.42,7685.0,0.891,5.79,8.76,2,8.2,independent_house,tier_1,fully_furnished,1984835.0,91.05,84.0
1220.0,3,2,4.42,9.43,,7.49,3.92,5.86,17.2,1.0,2,18,5.36,6817.0,0.564,6.01,6.0,5,8.71,independent_house,tier_1,semi_furnished,1500000.0,86.63,68.0
1510.0,4,3,9.7,6.68,7.7,5.26,4.89,2.9,12.4,2.0,31,32,4.27,6989.0,0.523,3.91,8.74,2,5.05,apartment,metro,semi_furnished,4920166.0,73.44,76.0
2055.0,3,4,5.05,7.28,7.14,8.74,5.22,2.48,19.7,3.0,7,37,3.67,7980.0,0.54,6.38,7.08,6,7.64,villa,tier_1,unfurnished,12421884.0,76.16,97.0
1604.0,3,3,3.22,6.83,6.79,10.0,4.55,1.68,15.0,2.0,27,28,1.74,7591.0,0.312,10.78,8.04,2,8.3,villa,tier_1,unfurnished,11951273.0,44.57,133.0
2057.0,4,4,7.85,4.0,8.51,10.0,3.96,4.32,7.8,3.0,28,29,3.03,9082.0,0.747,9.67,9.3,6,6.7,villa,metro,unfurnished,2570858.0,72.05,106.0
681.0,3,4,4.41,9.11,5.53,6.64,2.34,1.83,10.6,1.0,17,36,5.31,8107.0,0.398,5.38,9.03,1,8.13,apartment,metro,unfurnished,5377479.0,86.78,63.0
1225.0,2,1,10.07,8.21,5.79,9.47,3.21,1.43,6.5,,12,32,3.7,8117.0,0.764,5.96,9.9,4,9.02,apartment,tier_1,unfurnished,7765824.0,87.32,53.0
1820.0,3,2,10.25,3.64,4.48,7.7,3.75,4.16,3.2,2.0,7,8,2.2,6240.0,0.416,6.08,8.93,5,7.67,apartment,tier_1,unfurnished,1566379.0,62.38,107.0
1628.0,3,4,12.36,8.7,8.74,6.04,4.33,5.04,16.7,2.0,11,12,3.21,7885.0,0.275,5.25,7.87,4,9.07,apartment,metro,unfurnished,1500000.0,66.33,104.0
1002.0,3,4,13.74,6.74,8.03,7.52,1.17,2.28,9.1,1.0,2,24,2.34,7818.0,0.141,7.75,7.4,7,8.32,apartment,metro,unfurnished,4082288.0,57.92,107.0
1936.0,3,4,4.85,8.68,9.26,10.0,5.42,2.17,16.6,2.0,13,14,2.99,11052.0,0.733,9.37,9.64,6,9.94,apartment,metro,fully_furnished,12760348.0,76.21,88.0
1174.0,3,4,15.3,7.31,9.69,3.82,4.88,5.78,26.0,1.0,14,15,3.04,4081.0,0.807,14.37,7.6,6,7.25,apartment,tier_2,unfurnished,1500000.0,59.23,136.0
1046.0,3,4,6.76,5.16,6.28,7.71,3.25,1.92,19.4,1.0,33,34,2.87,5022.0,0.643,7.04,7.51,5,6.61,villa,tier_2,semi_furnished,8059825.0,64.54,108.0
1703.0,4,5,1.79,7.24,5.79,8.79,2.65,2.11,3.4,1.0,16,18,3.47,10057.0,0.389,9.23,8.62,6,7.87,apartment,metro,fully_furnished,12690693.0,70.9,78.0
1453.0,3,4,14.22,5.85,3.95,7.32,3.06,3.32,6.6,1.0,2,28,1.56,7683.0,0.363,3.77,9.64,2,7.07,plot,metro,unfurnished,3190318.0,53.18,116.0
1178.0,2,2,20.08,,5.13,7.02,1.92,1.69,15.7,1.0,5,20,4.0,8061.0,0.493,7.34,8.63,1,5.96,villa,metro,semi_furnished,9208937.0,68.11,87.0
1160.0,4,5,7.54,8.5,6.45,8.22,3.69,2.31,14.4,2.0,12,13,4.69,6834.0,0.739,6.5,8.28,5,8.98,apartment,tier_1,fully_furnished,7789352.0,88.28,75.0
894.0,2,1,15.83,7.79,3.5,5.63,3.98,1.59,21.7,0.0,10,39,1.74,4143.0,0.525,9.13,7.89,3,6.92,villa,tier_2,semi_furnished,3801352.0,48.68,133.0
1244.0,3,3,7.93,9.45,5.17,8.64,5.95,2.35,8.2,1.0,12,13,4.36,7193.0,0.31,8.57,8.91,7,8.6,apartment,tier_1,unfurnished,5342068.0,71.43,95.0
2022.0,5,4,5.76,6.61,6.86,8.23,5.15,4.26,1.0,,15,16,3.99,10167.0,0.415,9.2,6.95,8,7.17,plot,metro,semi_furnished,1586561.0,61.28,132.0
